"","Buy","Sell","Buy-Sell"
"2017-06-01",0.0091940158524404,0.00879014752945606,0.000403868322984335
"2017-06-02",0.000582939618129164,0.00372632983149712,-0.00314339021336796
"2017-06-05",-0.00305788073862734,-0.00222482502881882,-0.000833055709808517
"2017-06-06",-0.00491619751846872,-0.00416172172569351,-0.000754475792775211
"2017-06-07",0.000256580725072286,0.00127535824468028,-0.00101877751960799
"2017-06-08",-4.32182230744038e-05,0.00392625177254136,-0.00396946999561576
"2017-06-09",0.00592498537022967,-0.00379953995910765,0.00972452532933732
"2017-06-12",0.00266718570836999,-0.00294588017641051,0.0056130658847805
"2017-06-13",0.0052763339192774,0.00613576840780672,-0.00085943448852932
"2017-06-14",-0.00460285393461879,-0.00231199096071288,-0.0022908629739059
"2017-06-15",-0.00176690475606267,-0.00267333240511691,0.000906427649054242
"2017-06-16",0.00385953666039773,0.000195270725240171,0.00366426593515756
"2017-06-19",0.00510578003619111,0.00994237426531885,-0.00483659422912774
"2017-06-20",-0.00990820946704252,-0.00692819586058036,-0.00298001360646216
"2017-06-21",-0.00466338941034672,0.00337049308023052,-0.00803388249057724
"2017-06-22",-0.000101273818197245,0.00208361506211441,-0.00218488888031165
"2017-06-23",0.00443360206844656,0.00357201999339196,0.000861582075054601
"2017-06-26",0.00334589493139026,0.000390792315884791,0.00295510261550547
"2017-06-27",-0.00587637650385886,-0.0110847686178994,0.00520839211404056
"2017-06-28",0.00673578479327497,0.0100063169706415,-0.0032705321773665
"2017-06-29",-0.00623983002603001,-0.0100731686748854,0.00383333864885538
"2017-06-30",0.00401944093225093,0.000809057159095294,0.00321038377315563
"2017-07-03",0.00563718642685407,0.00238973430296152,0.00324745212389255
"2017-07-05",-0.00422832806205042,0.00217483734294799,-0.00640316540499841
"2017-07-06",-0.0122089272417113,-0.0096124246005691,-0.0025965026411422
"2017-07-07",0.00701225486447021,0.00949499581829327,-0.00248274095382306
"2017-07-10",-0.00129603584408999,0.000993310266904857,-0.00228934611099485
"2017-07-11",-0.00233281506846916,0.00157604733831374,-0.0039088624067829
"2017-07-12",0.00591727863315206,0.00887020813051476,-0.0029529294973627
"2017-07-13",0.00588334672743862,0.00278797058804892,0.00309537613938971
"2017-07-14",0.00578611752672464,0.00394034697412327,0.00184577055260138
"2017-07-17",0.00389230777198546,0.00379435482053658,9.79529514488764e-05
"2017-07-18",-0.00316092673484991,-0.00103917033219858,-0.00212175640265133
"2017-07-19",0.0052862414575805,0.00633217407264808,-0.00104593261506758
"2017-07-20",-0.00150337536762113,0.00204335577368031,-0.00354673114130144
"2017-07-21",0.000484092391988433,0.000468925633766881,1.5166758221552e-05
"2017-07-24",-0.00267777564586491,-0.000315926276424516,-0.00236184936944039
"2017-07-25",0.00628120465867044,0.00578737504237603,0.000493829616294406
"2017-07-26",-0.0012281897459967,-0.000602352543717322,-0.000625837202279378
"2017-07-27",2.997004628158e-05,-0.00560954404522451,0.00563951409150609
"2017-07-28",-0.00122751494285533,0.000856263910148591,-0.00208377885300393
"2017-07-31",-0.00149957440564974,-0.00244698475517235,0.000947410349522615
"2017-08-01",0.00388767601304574,0.00195337443943711,0.00193430157360863
"2017-08-02",-0.00443304205693162,-0.00375861239505149,-0.000674429661880138
"2017-08-03",-0.000155926776922888,-0.00112994153306933,0.000974014756146446
"2017-08-04",0.00278544782352874,0.00119457777980325,0.00159087004372549
"2017-08-07",0.00084850110105239,0.00328610907550075,-0.00243760797444836
"2017-08-08",0.00180667842570648,-0.00173547554440634,0.00354215397011282
"2017-08-09",-0.00111631922078437,-0.00340659758041095,0.00229027835962659
"2017-08-10",-0.015388717881447,-0.0159160305763947,0.000527312694947657
"2017-08-11",-0.000870915650645232,5.75162238589666e-05,-0.000928431874504199
"2017-08-14",0.00857242134573255,0.0110820937268648,-0.0025096723811322
"2017-08-15",-0.00316757843095561,-0.00209932520079925,-0.00106825323015636
"2017-08-16",0.00266436053984997,0.00231602181487034,0.000348338724979635
"2017-08-17",-0.0141437025779154,-0.0168382655757559,0.00269456299784043
"2017-08-18",-0.00228465826921875,-0.00232121173977873,3.65534705599746e-05
"2017-08-21",0.00126505794884402,0.00202684414691001,-0.000761786198065995
"2017-08-22",0.0102158729539716,0.0110812325005185,-0.000865359546546873
"2017-08-23",-0.00365552709984562,-9.3206040636562e-05,-0.00356232105920906
"2017-08-24",-0.00179408996441488,-0.000611456837720237,-0.00118263312669464
"2017-08-25",0.00652330517134203,0.000966840791788881,0.00555646437955315
"2017-08-28",-0.000138442860397214,0.000737312221965603,-0.000875755082362817
"2017-08-29",-0.000530200909457434,0.000136873886769751,-0.000667074796227185
"2017-08-30",0.00536538500632822,0.00555439289238513,-0.000189007886056913
"2017-08-31",0.00544250591707574,0.00854919171511681,-0.00310668579804108
"2017-09-01",0.00588426546936827,0.00322859043702883,0.00265567503233943
"2017-09-05",-0.00653566814745155,-0.00884946632425976,0.00231379817680821
"2017-09-06",0.00671638830599108,0.00493967058638112,0.00177671771960997
"2017-09-07",-0.000909943745551867,0.00150202861785376,-0.00241197236340562
"2017-09-08",0.000800049808969971,0.000338048828727011,0.00046200098024296
"2017-09-11",0.0105006235019425,0.00999599862803713,0.000504624873905346
"2017-09-12",0.00566700234105633,0.00345487506131081,0.00221212727974551
"2017-09-13",0.000749260855345657,-0.000529181837843229,0.00127844269318889
"2017-09-14",0.00266356769817278,-0.000883652746850982,0.00354722044502376
"2017-09-15",0.00174686909072652,0.00466170949667322,-0.00291484040594669
"2017-09-18",-0.00077495423257179,0.00524860001148109,-0.00602355424405288
"2017-09-19",-0.00261840653399903,-0.00164322082326951,-0.00097518571072952
"2017-09-20",0.000775549191002423,-0.000529711043733672,0.00130526023473609
"2017-09-21",-0.00297269773525122,-0.00311725887690451,0.000144561141653288
"2017-09-22",0.00426933704627519,0.00331915796707927,0.000950179079195923
"2017-09-25",0.00442484687668809,-0.000801491008051602,0.0052263378847397
"2017-09-26",0.0035030996392984,0.00104143867325956,0.00246166096603884
"2017-09-27",0.00309138558136768,0.00514077880173969,-0.00204939322037201
"2017-09-28",0.000220361944215153,0.0027155283843292,-0.00249516644011405
"2017-09-29",0.00087468108882871,0.00274035432456832,-0.00186567323573961
"2017-10-02",0.00345258173607665,0.00503719497953292,-0.00158461324345627
"2017-10-03",0.000651834350044345,0.000953975332577794,-0.00030214098253345
"2017-10-04",0.00162542708379054,0.00459192092136695,-0.00296649383757641
"2017-10-05",0.0042105341965244,0.00510786915466865,-0.000897334958144258
"2017-10-06",-0.00359414452101203,-0.00096397216468358,-0.00263017235632845
"2017-10-09",-0.00378757297134436,-0.00236566142729266,-0.00142191154405169
"2017-10-10",0.00349457740210379,0.00312573322181375,0.00036884418029004
"2017-10-11",-0.00130210272513287,0.00152475459790802,-0.00282685732304089
"2017-10-12",0.000859727574826108,0.00135383795430144,-0.000494110379475332
"2017-10-13",0.00177203410269655,0.00130012728486095,0.000471906817835599
"2017-10-16",0.000480602691283138,0.00135100159533286,-0.000870398904049718
"2017-10-17",-0.000823083415793513,-0.00231939142602733,0.00149630801023382
"2017-10-18",0.00194958607014839,0.00102173305429099,0.000927853015857405
"2017-10-19",0.00181816745181318,0.000700867930114146,0.00111729952169903
"2017-10-20",0.00828272734111923,0.00841230939086546,-0.000129582049746224
"2017-10-23",-0.00181859461604539,-0.00346246230131952,0.00164386768527414
"2017-10-24",-0.00063981192703022,0.00066104686370605,-0.00130085879073627
"2017-10-25",-0.00752294483002314,-0.00716702088505694,-0.000355923944966197
"2017-10-26",0.00655561064955146,0.00168322047693636,0.00487239017261509
"2017-10-27",-0.000792250605511136,0.00125418116664266,-0.0020464317721538
"2017-10-30",-0.004623447806821,-0.00525926715428626,0.000635819347465261
"2017-10-31",0.000288513007244529,0.00397000971167416,-0.00368149670442963
"2017-11-01",0.0026160162155997,0.000129927327356727,0.00248608888824298
"2017-11-02",0.00376179796560505,-4.13000233565608e-05,0.00380309798896161
"2017-11-03",-0.000717545680310683,0.00399808227183973,-0.00471562795215041
"2017-11-06",0.00408787555561996,0.00221234534737969,0.00187553020824027
"2017-11-07",-0.00102041781632478,-0.00210615913136691,0.00108574131504213
"2017-11-08",0.00459133389873623,0.00397030902824613,0.000621024870490094
"2017-11-09",0.00435003396879452,-0.00379152848730424,0.00814156245609876
"2017-11-10",0.00307171384864069,0.00101060509054651,0.00206110875809418
"2017-11-13",0.000628825192548366,0.00197846564727322,-0.00134964045472485
"2017-11-14",-5.8438399668459e-05,0.000218509507445841,-0.0002769479071143
"2017-11-15",-0.00473912467306703,-0.00535491188643322,0.000615787213366192
"2017-11-16",0.00865736228369207,0.0117619339376072,-0.00310457165391509
"2017-11-17",0.00311444860855636,0.00342296274815546,-0.000308514139599092
"2017-11-20",0.000971397860006773,0.00233892373981215,-0.00136752587980538
"2017-11-21",0.00515913021932479,0.0033179935316634,0.00184113668766139
"2017-11-22",0.000812350950146534,-0.000606344106903522,0.00141869505705006
"2017-11-24",0.00136902747711098,0.00190371652245225,-0.000534689045341263
"2017-11-27",-0.00312436137184469,-0.000786482241126873,-0.00233787913071781
"2017-11-28",0.0141368193993134,0.0104589739325327,0.00367784546678074
"2017-11-29",0.00862579783556328,-0.000366709194788095,0.00899250703035137
"2017-11-30",0.00774228802576604,0.00885069210841016,-0.00110840408264412
"2017-12-01",-0.000598929241267365,-0.00186388818553129,0.00126495894426393
"2017-12-04",0.00674181472931923,-0.000520039356838975,0.0072618540861582
"2017-12-05",-0.00653366640651498,-0.00682981967475438,0.000296153268239396
"2017-12-06",-0.00106287144034911,-0.000873470579517921,-0.00018940086083119
"2017-12-07",0.00310543789730011,0.00526674793817095,-0.00216131004087083
"2017-12-08",0.0068955483287747,0.0071441686451037,-0.000248620316328996
"2017-12-11",0.00147775496981994,0.00132049591102756,0.000157259058792381
"2017-12-12",0.00165248346965807,0.000344416591036678,0.00130806687862139
"2017-12-13",-0.000245715338834773,0.00122400480602813,-0.00146972014486291
"2017-12-14",-0.00634318215066554,-0.00568954193201854,-0.000653640218647
"2017-12-15",0.00621443030510038,0.0120218615299328,-0.0058074312248324
"2017-12-18",0.0102364644361064,0.00790399726965507,0.0023324671664513
"2017-12-19",-0.00575608822415929,-0.00223920273828038,-0.00351688548587892
"2017-12-20",0.00122965016094279,0.00162732980644442,-0.000397679645501636
"2017-12-21",0.00507110858134041,0.00400476304195108,0.00106634553938934
"2017-12-22",0.000949229484745517,-0.000126177437890118,0.00107540692263564
"2017-12-26",0.00244403756264577,0.00303585400930495,-0.000591816446659177
"2017-12-27",-0.00123987691581096,0.000436042839485173,-0.00167591975529613
"2017-12-28",0.00373664270575946,0.00289974553568562,0.000836897170073847
"2017-12-29",-0.00450478556299017,-0.00545849679016064,0.000953711227170473
"2018-01-02",0.00691622432525607,0.00845387313919366,-0.00153764881393759
"2018-01-03",0.00342576177209564,0.00443059212408703,-0.00100483035199139
"2018-01-04",0.00298204732830798,0.00208441257373848,0.000897634754569498
"2018-01-05",0.00615464564084256,0.0052640877107939,0.000890557930048663
"2018-01-08",0.00522851800915536,0.00282521108053757,0.00240330692861779
"2018-01-09",-0.00231505324450909,0.000837962350608734,-0.00315301559511783
"2018-01-10",-0.00072971198067473,-0.00146286763047898,0.000733155649804251
"2018-01-11",0.0110053156091756,0.00956899188039051,0.0014363237287851
"2018-01-12",0.00742604587693219,0.00722841141840647,0.000197634458525719
"2018-01-16",-0.00727045559117567,-0.00664871790006816,-0.000621737691107516
"2018-01-17",0.00819921997324702,0.0124917355568976,-0.00429251558365062
"2018-01-18",-0.00163774285418539,-0.00340419449181206,0.00176645163762668
"2018-01-19",0.00814244666769626,0.0083399018183592,-0.00019745515066294
"2018-01-22",0.00665334119780536,0.00882220771439535,-0.00216886651658998
"2018-01-23",0.0019981787726473,0.0036932217182164,-0.0016950429455691
"2018-01-24",-0.00480101910480324,0.000580705654138036,-0.00538172475894128
"2018-01-25",-0.00536543927082023,0.000689149130568945,-0.00605458840138917
"2018-01-26",0.00846569171597866,0.0113640690719106,-0.0028983773559319
"2018-01-29",-0.00773851988526608,-0.00882691661786528,0.0010883967325992
"2018-01-30",-0.00907414321519084,-0.012320191268273,0.00324604805308215
"2018-01-31",-0.000337143672896389,-0.00282974533579128,0.00249260166289489
"2018-02-01",-0.00328549267297507,-0.00334784415119638,6.23514782213119e-05
"2018-02-02",-0.0188847706983936,-0.0230174532741052,0.00413268257571164
"2018-02-05",-0.0350100596112787,-0.035491558219421,0.000481498608142283
"2018-02-06",0.0111449328094502,0.0175295888959954,-0.00638465608654526
"2018-02-07",-0.00246574664644938,0.000757816601123507,-0.00322356324757289
"2018-02-08",-0.0299101799972407,-0.0338070579867218,0.00389687798948113
"2018-02-09",0.0118524863170826,0.0131661786895905,-0.00131369237250789
"2018-02-12",0.0133141548032856,0.0115465922296512,0.00176756257363442
"2018-02-13",0.00171504834538849,0.000661972041138936,0.00105307630424956
"2018-02-14",0.0118658336113135,0.018855184674319,-0.00698935106300547
"2018-02-15",0.0111000733166211,0.00878807237911339,0.00231200093750772
"2018-02-16",-0.00126134058787342,-0.000349398608217033,-0.000911941979656383
"2018-02-20",-0.00531530830987692,-0.0072565903691254,0.00194128205924848
"2018-02-21",-0.00793806879631598,-0.00481531694267634,-0.00312275185363964
"2018-02-22",0.000645425499873786,0.00136294778567492,-0.000717522285801131
"2018-02-23",0.0156145379031964,0.0153490756585359,0.000265462244660508
"2018-02-26",0.00816553899610373,0.00424411656840396,0.00392142242769977
"2018-02-27",-0.014368404888818,-0.0134124152962893,-0.000955989592528628
"2018-02-28",-0.00756322817154076,-0.00969242730284448,0.00212919913130372
"2018-03-01",-0.00931143790623823,-0.00864365828987768,-0.000667779616360553
"2018-03-02",0.00717545878509007,0.0081494773074986,-0.000974018522408526
"2018-03-05",0.00968508210815244,0.0103737422059769,-0.000688660097824423
"2018-03-06",0.00403019184232489,0.00607945341328175,-0.00204926157095686
"2018-03-07",-7.0472107146724e-05,-0.00344878758708089,0.00337831547993417
"2018-03-08",0.00465839224063958,0.00295253282081909,0.00170585941982049
"2018-03-09",0.0137823670197492,0.0144171383751419,-0.000634771355392694
"2018-03-12",0.000576574253094986,-0.00159557480775807,0.00217214906085306
"2018-03-13",-0.00423354215203742,-0.00521468727118757,0.000981145119150151
"2018-03-14",-0.00401228427798017,-0.00446038641580604,0.000448102137825868
